Time (s),Input u(t),Output y(t)
0,0,0
0.05,0,0
0.1,0,0
0.15,1,0
0.2,1,0.01079
0.25,1,0.030921982
0.3,0,0.058914583
0.35,1,0.082498123
0.4,0,0.112463655
0.45,1,0.136667101
0.5,0,0.166039462
0.55,0,0.188586376
0.6,0,0.204604062
0.65,0,0.214493002
0.7,1,0.2187377
0.75,1,0.228676958
0.8,1,0.243457002
0.85,0,0.26221848
0.9,0,0.273325224
0.95,1,0.277408634
1,1,0.285966888
1.05,1,0.298313302
1.1,0,0.313758926
1.15,1,0.320837337
1.2,0,0.331135512
1.25,1,0.333282003
1.3,0,0.338943476
1.35,1,0.33681293
1.4,1,0.338606595
1.45,0,0.343842798
1.5,0,0.341231703
1.55,0,0.331715934
1.6,0,0.316277192
1.65,1,0.295911123
1.7,1,0.282394732
1.75,1,0.275238516
1.8,1,0.273874135
1.85,0,0.277675321
1.9,1,0.275187644
1.95,1,0.277964864
2,0,0.285352922
2.05,1,0.285884444
2.1,1,0.291113689
2.15,0,0.300399007
2.2,1,0.302295737
2.25,1,0.308389507
2.3,0,0.318077052
2.35,1,0.319957511
2.4,1,0.325664186
2.45,1,0.334643922
2.5,1,0.346337063
2.55,0,0.360189998
2.6,0,0.364876157
2.65,0,0.361333424
2.7,1,0.350567239
2.75,1,0.344411741
2.8,1,0.342475342
2.85,0,0.34432172
2.9,1,0.338694085
2.95,0,0.337346489
3,1,0.329033296
3.05,0,0.325507723
3.1,0,0.315512679
3.15,0,0.299990757
3.2,0,0.279894559
3.25,1,0.256165466
3.3,1,0.240505042
3.35,1,0.232331156
3.4,0,0.230969549
3.45,0,0.224888482
3.5,1,0.214750037
3.55,1,0.212017024
3.6,1,0.215909556
3.65,0,0.22559615
3.7,1,0.229427112
3.75,0,0.238773881
3.8,1,0.242025401
3.85,0,0.250592438
3.9,1,0.252903042
3.95,1,0.260406063
4,0,0.272355925
4.05,0,0.277207547
4.1,0,0.275661372
4.15,0,0.268473614
4.2,1,0.256433998
4.25,1,0.251135305
4.3,1,0.25192694
4.35,1,0.258103382
4.4,0,0.268925287
4.45,1,0.272848911
4.5,1,0.281361662
4.55,0,0.293764889
4.6,1,0.298566872
4.65,1,0.30731599
4.7,0,0.319381215
4.75,1,0.323342919
4.8,1,0.33082402
4.85,0,0.34126862
4.9,1,0.343331169
4.95,1,0.348706156
5,1,0.356905532
5.05,1,0.367436851
5.1,0,0.379814161
5.15,0,0.382777519
5.2,0,0.377329115
5.25,1,0.364535281
5.3,1,0.356286735
5.35,1,0.35224345
5.4,0,0.352015123
5.45,1,0.344385102
5.5,0,0.34114151
5.55,1,0.331066682
5.6,0,0.32593581
5.65,0,0.314507995
5.7,0,0.297736546
5.75,0,0.276579708
5.8,1,0.251979876
5.85,1,0.235635509
5.9,1,0.226957781
5.95,0,0.225262695
6,0,0.219006281
6.05,1,0.208836434
6.1,1,0.206200348
6.15,1,0.210301576
6.2,0,0.220291592
6.25,1,0.224503585
6.3,0,0.234292176
6.35,1,0.238030112
6.4,0,0.247112852
6.45,1,0.249954253
6.5,1,0.257990257
6.55,0,0.270463794
6.6,0,0.275819789
6.65,0,0.274750222
6.7,0,0.268004394
6.75,1,0.256366627
6.8,1,0.251425755
6.85,1,0.252528612
6.9,1,0.258968383
6.95,0,0.270005582
7,1,0.274097357
7.05,1,0.282732897
7.1,0,0.295216094
7.15,1,0.300058382
7.2,1,0.308811775
7.25,0,0.320849231
7.3,1,0.324755331
7.35,1,0.332157315
7.4,0,0.342503614
7.45,1,0.344452921
7.5,1,0.349703805
7.55,1,0.357772063
7.6,1,0.368168811
7.65,0,0.380411325
7.7,0,0.383242532
7.75,0,0.377667111
7.8,1,0.364753495
7.85,1,0.35639411
7.9,1,0.352250255
7.95,0,0.351932591
8,1,0.344225076
8.05,0,0.340916132
8.1,1,0.3307881
8.15,0,0.325615918
8.2,0,0.314158215
8.25,0,0.29736764
8.3,0,0.276201621
8.35,1,0.251601625
8.4,1,0.235265095
8.45,1,0.226602132
8.5,0,0.224927645
8.55,0,0.21869657
8.6,1,0.208555732
8.65,1,0.205951296
8.7,1,0.21008585
8.75,0,0.220109974
8.8,1,0.22435605
8.85,0,0.234177981
8.9,1,0.237947897
8.95,0,0.247060735
9,1,0.249929929
9.05,1,0.257991096
9.1,0,0.270486932
9.15,0,0.275862216
9.2,0,0.274808862
9.25,0,0.268076175
9.3,1,0.256448548
9.35,1,0.251514941
9.4,1,0.25262236
9.45,1,0.259064198
9.5,0,0.27010121
9.55,1,0.2741908
9.6,1,0.282822431
9.65,0,0.295300272
9.7,1,0.300136033
9.75,1,0.308881999
9.8,0,0.320911387
9.85,1,0.32480902
9.9,1,0.332202361
9.95,0,0.342540045
10,1,0.344480942
10.05,1,0.349723775
10.1,1,0.357784473
10.15,1,0.368174253
10.2,0,0.380410473
10.25,0,0.383236115
10.3,0,0.377655895
10.35,1,0.364738258
10.4,1,0.356375629
10.45,1,0.352229287
10.5,0,0.351909859
10.55,1,0.34420126
10.6,0,0.340891857
10.65,1,0.330763929
10.7,0,0.325592351
10.75,0,0.31413568
10.8,0,0.297346496
10.85,0,0.276182157
10.9,1,0.251584061
10.95,1,0.235249587
11,1,0.226588775
11.05,0,0.224916478
11.1,0,0.21868758
11.15,1,0.208548862
11.2,1,0.205946452
11.25,1,0.210082905
11.3,0,0.220108776
11.35,1,0.224356425
11.4,0,0.234179745
11.45,1,0.237950855
11.5,0,0.247064689
11.55,1,0.249934683
11.6,1,0.25799646
11.65,0,0.270492724
11.7,0,0.275868264
11.75,0,0.27481501
11.8,0,0.268082283
11.85,1,0.256454491
11.9,1,0.251520612
